Team_Country,Gold
United States of America,39
People's Republic of China,38
Japan,27
Great Britain,22
ROC,20
Australia,17
Netherlands,10
France,10
Germany,10
Italy,10
Canada,7
Brazil,7
New Zealand,7
Cuba,7
Hungary,6
Republic of Korea,6
Poland,4
Czech Republic,4
Kenya,4
Norway,4
Jamaica,4
Spain,3
Sweden,3
Switzerland,3
Denmark,3
Croatia,3
Islamic Republic of Iran,3
Serbia,3
Belgium,3
Bulgaria,3
Slovenia,3
Uzbekistan,3
Georgia,2
Chinese Taipei,2
Turkey,2
Greece,2
Uganda,2
Ecuador,2
Ireland,2
Israel,2
Qatar,2
Bahamas,2
Kosovo,2
Ukraine,1
Belarus,1
Romania,1
Venezuela,1
India,1
"Hong Kong, China",1
Philippines,1
Slovakia,1
South Africa,1
Austria,1
Egypt,1
Indonesia,1
Ethiopia,1
Portugal,1
Tunisia,1
Estonia,1
Fiji,1
Latvia,1
Thailand,1
Bermuda,1
Morocco,1
Puerto Rico,1
Colombia,0
Azerbaijan,0
Dominican Republic,0
Armenia,0
Kyrgyzstan,0
Mongolia,0
Argentina,0
San Marino,0
Jordan,0
Malaysia,0
Nigeria,0
Bahrain,0
Saudi Arabia,0
Lithuania,0
North Macedonia,0
Namibia,0
Turkmenistan,0
Kazakhstan,0
Mexico,0
Finland,0
Botswana,0
Burkina Faso,0
Cï¿½te d'Ivoire,0
Ghana,0
Grenada,0
Kuwait,0
Republic of Moldova,0
Syrian Arab Republic,0
